,index,title,price,cost,pass,lat,lng,price_,link,time,duration,address,neighborhood,points,obs,category,mail,1,1,1,1,1,1
0,0.0,Tower Bridge,£10.26,£12.14,Y,51.505455,-0.075351,404,http://www.towerbridge.org.uk/,9:30 AM - 6:00 PM,1-2 hours,404,404,"39,305","#4 of 2,424 things to do in London",Points of Interest & Landmarks • Bridges • Observation Decks & Towers,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,Tower Bridge
1,1.0,The Shard,£29.80,£35.27,Y,51.5046,-0.08667,404,http://www.the-shard.com,404,1-2 hours,"The Shard 32 London Bridge Street, London SE1 9SG England",Neighborhood: Southwark,835,"#253 of 2,424 things to do in London",Architectural Buildings,Visit websiteCall,Europe,United Kingdom (UK),England,London,Things to Do in London,The Shard
2,2.0,Borough Market,£0.00,£0.00,N,51.505512,-0.090481,404,http://boroughmarket.org.uk,10:00 AM - 5:00 PM,404,404,Neighborhood: Southwark,"13,303","#11 of 2,424 things to do in London",Flea & Street Markets,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,Borough Market
3,3.0,Imperial War Museum London,£0.00,£0.00,N,51.495914,-0.108748,404,http://www.iwm.org.uk/visits/iwm-london,404,2-3 hours,404,404,"10,521","#141 of 2,424 things to do in London",Military Museums • History Museums,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,Imperial War Museum London
4,4.0,London Eye,£27.00,£31.96,N,51.503387,-0.119625,from $37.38,http://www.londoneye.com/,11:00 AM - 6:00 PM,1-2 hours,404,404,"87,287","#18 of 2,424 things to do in London",Points of Interest & Landmarks • Observation Decks & Towers,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,London Eye
5,5.0,City Cruises Thames River Pass,£0.00,£0.00,Y,51.5015009,-0.1257795,,,,,,,,,,,,,,,,
6,6.0,Houses of Parliament,£29.00,£34.32,N,51.49951,-0.124787,404,http://www.parliament.uk/visit,12:00 AM - 12:00 AM,1-2 hours,404,Neighborhood: Westminster,"16,532","#9 of 2,424 things to do in London",Historic Sites • Architectural Buildings • Government Buildings,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,Houses of Parliament
7,7.0,Westminster Abbey,£24.00,£28.41,Y,51.4994,-0.1275,404,http://www.westminster-abbey.org/,9:30 AM - 3:30 PM,1-2 hours,404,Neighborhood: Westminster,"24,251","#10 of 2,424 things to do in London",Historic Sites • Architectural Buildings • Religious Sites,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,Westminster Abbey
8,8.0,Churchill War Rooms,£27.50,£32.55,N,51.502163,-0.129357,404,http://www.iwm.org.uk/visits/churchill-war-rooms,404,2-3 hours,404,Neighborhood: Westminster,"23,052","#3 of 2,424 things to do in London",Military Museums • Historic Sites • History Museums,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,Churchill War Rooms
9,9.0,St. James's Park,£0.00,£0.00,N,51.50397,-0.12901,404,http://www.royalparks.org.uk/parks/st-jamess-park,5:00 AM - 12:00 AM,1-2 hours,404,Neighborhood: Westminster,"18,890","#2 of 2,424 things to do in London",Parks,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,St. James's Park
10,10.0,Buckingham Palace,£0.00,£0.00,N,51.501366,-0.14189,404,http://www.rct.uk/visit/the-state-rooms-buckingham-palace,11:00 AM - 5:00 PM,2-3 hours,404,Neighborhood: Westminster,"29,289","#19 of 2,424 things to do in London",Historic Sites • Points of Interest & Landmarks,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,Buckingham Palace
11,11.0,Hyde Park,£0.00,£0.00,N,51.507607,-0.165628,404,https://www.royalparks.org.uk/parks/hyde-park,5:00 AM - 12:00 AM,2-3 hours,404,Neighborhood: Kensington and Hyde Park,"22,143","#7 of 2,424 things to do in London",Parks,Visit websiteCallEmail,Europe,United Kingdom (UK),England,London,Things to Do in London,Hyde Park
